productID,productName,productPrice,supplierID,supplierName,storeID,storeName
77,UE Megaboom 3 Portable Bluetooth Speaker,199.99$,43,Ultimate Ears (Logitech),3,Sound Zone
64,MSI Optix MAG271CQR Curved Gaming Monitor,399.99$,35,MSI (Micro-Star International),4,Game Zone
43,DJI Osmo Pocket 2,349.99$,20,DJI,6,Photo World
98,MSI Optix MAG321CQR Curved Gaming Monitor,499.99$,35,MSI (Micro-Star International),4,Game Zone
15,Microsoft Surface Laptop 4,1299.99$,15,Microsoft Corporation,2,Tech Haven
84,OnePlus Nord 2,499.99$,29,OnePlus Technology,1,Electro Mart
25,JBL Flip 5 Portable Bluetooth Speaker,99.99$,24,JBL,3,Sound Zone
86,LG UltraGear 27GN950-B Gaming Monitor,1499.99$,11,LG Electronics,4,Game Zone
48,Garmin Forerunner 945 GPS Smartwatch,599.99$,17,Garmin Ltd.,7,Health Zone
62,Logitech MX Master 3 Wireless Mouse,99.99$,12,Logitech,2,Tech Haven
6,Xbox Series X,499.99$,6,Microsoft Corporation,4,Game Zone
17,Garmin Venu 2 Smartwatch,399.99$,17,Garmin Ltd.,7,Health Zone
14,Bose QuietComfort 35 II Wireless Headphones,299.99$,14,Bose Corporation,3,Sound Zone
50,Jabra Elite 85t True Wireless Earbuds,229.99$,37,Jabra,3,Sound Zone
63,Google Pixel Buds A-Series,99.99$,22,Google LLC,3,Sound Zone
60,Canon EOS M50 Mark II Mirrorless Camera,649.99$,9,Canon Inc.,6,Photo World
13,Samsung Galaxy Tab S7,649.99$,13,Samsung Electronics,2,Tech Haven
30,Samsung Galaxy Buds Pro,199.99$,13,Samsung Electronics,3,Sound Zone
3,Samsung QLED 4K Smart TV,1499.99$,3,Samsung Electronics,1,Electro Mart
12,Logitech G Pro X Mechanical Gaming Keyboard,149.99$,12,Logitech,4,Game Zone
68,Garmin Instinct Solar Smartwatch,399.99$,17,Garmin Ltd.,7,Health Zone
1,iPhone 13 Pro,1099.99$,1,Apple Inc.,1,Electro Mart
69,Samsung Odyssey G7 Gaming Monitor,699.99$,3,Samsung Electronics,4,Game Zone
42,Sony Xperia 1 III,1299.99$,16,Sony Corporation,1,Electro Mart
74,Razer Naga X Gaming Mouse,79.99$,18,Razer Inc.,4,Game Zone
67,GoPro HERO9 Black Action Camera,449.99$,26,GoPro Inc.,6,Photo World
34,HP Spectre x360 Laptop,1399.99$,30,HP Inc.,2,Tech Haven
9,Canon EOS R5 Mirrorless Camera,3499.99$,9,Canon Inc.,6,Photo World
93,Alienware AW2521HFL Gaming Monitor,499.99$,8,Alienware (Dell),4,Game Zone
33,OnePlus 9 Pro,899.99$,29,OnePlus Technology,1,Electro Mart
38,Canon EOS RP Mirrorless Camera,1299.99$,9,Canon Inc.,6,Photo World
18,Razer Blade 15 Gaming Laptop,1799.99$,18,Razer Inc.,5,InnoTech
55,Sonos Roam Portable Bluetooth Speaker,169.99$,39,Sonos Inc.,3,Sound Zone
